occupation,risk_score,risk_level,timeline_years,trend,industry,primary_ai_threat,workforce_size_us
Data Entry Clerk,96,HIGH,2-3,increasing,Technology,LLM + OCR automation,152000
Telemarketer,95,HIGH,2-3,increasing,Sales,AI voice agents,98000
Typist,95,HIGH,1-2,increasing,Admin,Voice-to-text + LLMs,38000
Toll Booth Operator,92,HIGH,2-3,increasing,Transportation,Electronic tolling,7000
Bookkeeper,92,HIGH,3-4,increasing,Finance,AI accounting software,1500000
File Clerk,90,HIGH,2-3,increasing,Admin,Document management AI,125000
Proofreader,90,HIGH,2-3,increasing,Creative,LLM grammar/style check,68000
Retail Cashier,89,HIGH,3-5,increasing,Retail,Self-checkout automation,3340000
Tax Preparer,88,HIGH,3-4,increasing,Finance,Automated tax filing,86000
Meter Reader,88,HIGH,3-4,increasing,Utilities,Smart meters + IoT,28000
Insurance Underwriter,86,HIGH,3-5,increasing,Finance,AI risk assessment models,115000
Bank Teller,85,HIGH,3-4,increasing,Finance,Digital banking + chatbots,405000
Transcriptionist,84,HIGH,1-2,increasing,Healthcare,Speech-to-text AI,51000
Payroll Clerk,82,HIGH,3-4,increasing,Finance,Payroll automation,140000
Travel Agent,82,HIGH,3-5,increasing,Travel,AI trip planning,58000
Paralegal,80,HIGH,3-5,increasing,Legal,Legal AI review tools,345000
Fast Food Cook,78,HIGH,4-6,increasing,Food Service,Kitchen robotics,3600000
Warehouse Worker,77,HIGH,3-5,increasing,Logistics,Robotics + AI logistics,1800000
Customer Service Rep,76,HIGH,2-4,increasing,Services,AI chatbots/voice agents,2900000
Assembly Line Worker,75,HIGH,3-5,increasing,Manufacturing,Industrial robots + AI QC,1600000
Medical Coder,74,HIGH,3-4,increasing,Healthcare,AI coding systems,350000
Real Estate Appraiser,74,HIGH,4-6,stable,Real Estate,AI valuation models,75000
Mail Carrier,73,HIGH,5-8,stable,Transportation,Drone delivery + digital mail,325000
Receptionist,72,HIGH,3-5,increasing,Admin,Virtual receptionist AI,985000
Loan Officer,72,HIGH,3-5,increasing,Finance,AI credit scoring,310000
Claims Adjuster,71,HIGH,4-6,increasing,Insurance,AI damage assessment,285000
Stock Trader (floor),70,HIGH,2-4,increasing,Finance,Algorithmic trading,42000
Credit Analyst,70,HIGH,3-5,increasing,Finance,AI credit models,72000
Medical Records Tech,68,MODERATE,3-4,increasing,Healthcare,AI data extraction + EHR,185000
Copywriter,68,MODERATE,2-4,increasing,Creative,LLMs (ChatGPT Claude),145000
Graphic Designer,65,MODERATE,3-5,increasing,Creative,Midjourney DALL-E Canva AI,290000
Translator/Interpreter,62,MODERATE,3-5,increasing,Languages,DeepL Google Translate AI,68000
Technical Writer,62,MODERATE,3-4,increasing,Technology,LLM documentation generation,52000
Junior Software Developer,60,MODERATE,3-5,increasing,Technology,Copilot Cursor Claude Code,450000
Market Research Analyst,60,MODERATE,3-5,increasing,Business,AI survey + data analysis,790000
Dispatcher,60,MODERATE,3-5,increasing,Transportation,AI routing + scheduling,215000
Drafter (CAD),58,MODERATE,4-6,increasing,Engineering,AI-assisted design tools,82000
Financial Analyst,58,MODERATE,4-6,increasing,Finance,AI financial modeling,310000
Accountant (CPA),55,MODERATE,4-6,stable,Finance,AI audit + analytics,1450000
Journalist (news),55,MODERATE,4-6,increasing,Media,AI-generated news articles,45000
Executive Assistant,55,MODERATE,3-5,increasing,Admin,AI scheduling + email,780000
Truck Driver (long-haul),55,MODERATE,5-10,stable,Transportation,Autonomous driving,1900000
Quality Control Inspector,55,MODERATE,4-6,increasing,Manufacturing,Computer vision AI,525000
Purchasing Agent,55,MODERATE,4-6,increasing,Business,AI procurement platforms,70000
Photographer,52,MODERATE,4-6,increasing,Creative,AI-generated images,145000
Retail Sales Associate,52,MODERATE,4-6,increasing,Retail,E-commerce AI + chatbots,4300000
HR Recruiter,52,MODERATE,3-5,increasing,HR,AI screening + matching,340000
Taxi/Rideshare Driver,50,MODERATE,5-10,stable,Transportation,Waymo Cruise autonomous,350000
Insurance Agent,50,MODERATE,4-6,stable,Insurance,Online comparison + AI,520000
Compliance Officer,50,MODERATE,4-6,stable,Legal,AI regulatory monitoring,345000
Librarian,48,MODERATE,5-7,stable,Education,AI search + digital access,143000
Real Estate Agent,48,MODERATE,5-7,stable,Real Estate,AI property matching,1600000
Security Guard,48,MODERATE,5-8,stable,Security,AI surveillance + robotics,1150000
Interior Designer,45,MODERATE,5-7,stable,Creative,AI design tools,85000
Surveyor,45,MODERATE,5-7,stable,Engineering,Drone + LiDAR + AI mapping,48000
Property Manager,45,MODERATE,5-7,stable,Real Estate,AI tenant management,385000
Radiologist,45,MODERATE,5-8,stable,Healthcare,AI image interpretation,38000
Pharmacist,42,MODERATE,5-8,stable,Healthcare,Automated dispensing + AI,325000
Lab Technician,42,MODERATE,5-8,stable,Healthcare,Automated lab equipment,335000
